,,,,,
"CPI - Rural, Urban, Combined (All India)",,,,,
,,,,,
Base : 2012 = 100,,,,,
,,,,,
Month,Commodity Description,Provisional / Final,Combined,,
,,,Index,Inflation (%),
DEC-2025,A) General Index,Provisional,198,1.33,
NOV-2025,A) General Index,Final,197.9,0.71,
OCT-2025,A) General Index,Final,197.3,0.25,
SEP-2025,A) General Index,Final,197,1.44,
AUG-2025,A) General Index,Final,197,2.07,
JUL-2025,A) General Index,Final,196.1,1.61,
JUN-2025,A) General Index,Final,194.2,2.1,
MAY-2025,A) General Index,Final,193,2.82,
APR-2025,A) General Index,Final,192.6,3.16,
MAR-2025,A) General Index,Final,192,3.34,
FEB-2025,A) General Index,Final,192.5,3.61,
JAN-2025,A) General Index,Final,193.4,4.26,
DEC-2024,A) General Index,Final,195.4,5.22,
NOV-2024,A) General Index,Final,196.5,5.48,
OCT-2024,A) General Index,Final,196.8,6.21,
SEP-2024,A) General Index,Final,194.2,5.49,
AUG-2024,A) General Index,Final,193,3.65,
JUL-2024,A) General Index,Final,193,3.6,
JUN-2024,A) General Index,Final,190.2,5.08,
MAY-2024,A) General Index,Final,187.7,4.8,
APR-2024,A) General Index,Final,186.7,4.83,
MAR-2024,A) General Index,Final,185.8,4.85,
FEB-2024,A) General Index,Final,185.8,5.09,
JAN-2024,A) General Index,Final,185.5,5.1,
DEC-2023,A) General Index,Final,185.7,5.69,
NOV-2023,A) General Index,Final,186.3,5.55,
OCT-2023,A) General Index,Final,185.3,4.87,
SEP-2023,A) General Index,Final,184.1,5.02,
AUG-2023,A) General Index,Final,186.2,6.83,
JUL-2023,A) General Index,Final,186.3,7.44,
JUN-2023,A) General Index,Final,181,4.87,
MAY-2023,A) General Index,Final,179.1,4.31,
APR-2023,A) General Index,Final,178.1,4.7,
MAR-2023,A) General Index,Final,177.2,5.66,
FEB-2023,A) General Index,Final,176.8,6.44,
JAN-2023,A) General Index,Final,176.5,6.52,
DEC-2022,A) General Index,Final,175.7,5.72,
NOV-2022,A) General Index,Final,176.5,5.88,
OCT-2022,A) General Index,Final,176.7,6.77,
SEP-2022,A) General Index,Final,175.3,7.41,
AUG-2022,A) General Index,Final,174.3,7,
JUL-2022,A) General Index,Final,173.4,6.71,
JUN-2022,A) General Index,Final,172.6,7.01,
MAY-2022,A) General Index,Final,171.7,7.04,
APR-2022,A) General Index,Final,170.1,7.79,
MAR-2022,A) General Index,Final,167.7,6.95,
FEB-2022,A) General Index,Final,166.1,6.07,
JAN-2022,A) General Index,Final,165.7,6.01,
DEC-2021,A) General Index,Final,166.2,5.66,
NOV-2021,A) General Index,Final,166.7,4.91,
OCT-2021,A) General Index,Final,165.5,4.48,
SEP-2021,A) General Index,Final,163.2,4.35,
AUG-2021,A) General Index,Final,162.9,5.3,
JUL-2021,A) General Index,Final,162.5,5.59,
JUN-2021,A) General Index,Final,161.3,6.26,
MAY-2021,A) General Index,Final,160.4,6.3,
APR-2021,A) General Index,Final,157.8,4.23,
MAR-2021,A) General Index,Final,156.8,5.52,
FEB-2021,A) General Index,Final,156.6,5.03,
JAN-2021,A) General Index,Final,156.3,4.06,
DEC-2020,A) General Index,Final,157.3,4.59,
NOV-2020,A) General Index,Final,158.9,6.93,
OCT-2020,A) General Index,Final,158.4,7.61,
SEP-2020,A) General Index,Final,156.4,7.27,
AUG-2020,A) General Index,Final,154.7,6.69,
JUL-2020,A) General Index,Final,153.9,6.73,
JUN-2020,A) General Index,Final,151.8,6.23,
MAY-2020,A) General Index,Final,150.9,6.27,
APR-2020,A) General Index,Final,151.4,7.22,
MAR-2020,A) General Index,Final,148.6,5.84,
FEB-2020,A) General Index,Final,149.1,6.58,
JAN-2020,A) General Index,Final,150.2,7.59,
DEC-2019,A) General Index,Final,150.4,7.35,
NOV-2019,A) General Index,Final,148.6,5.54,
OCT-2019,A) General Index,Final,147.2,4.62,
SEP-2019,A) General Index,Final,145.8,3.99,
AUG-2019,A) General Index,Final,145,3.28,
JUL-2019,A) General Index,Final,144.2,3.15,
JUN-2019,A) General Index,Final,142.9,3.18,
MAY-2019,A) General Index,Final,142,3.05,
APR-2019,A) General Index,Final,141.2,2.99,
MAR-2019,A) General Index,Final,140.4,2.86,
FEB-2019,A) General Index,Final,139.9,2.57,
JAN-2019,A) General Index,Final,139.6,1.97,
DEC-2018,A) General Index,Final,140.1,2.11,
NOV-2018,A) General Index,Final,140.8,2.33,
OCT-2018,A) General Index,Final,140.7,3.38,
SEP-2018,A) General Index,Final,140.2,3.7,
AUG-2018,A) General Index,Final,140.4,3.69,
JUL-2018,A) General Index,Final,139.8,4.17,
JUN-2018,A) General Index,Final,138.5,4.92,
MAY-2018,A) General Index,Final,137.8,4.87,
APR-2018,A) General Index,Final,137.1,4.58,
MAR-2018,A) General Index,Final,136.5,4.28,
FEB-2018,A) General Index,Final,136.4,4.44,
JAN-2018,A) General Index,Final,136.9,5.07,
DEC-2017,A) General Index,Final,137.2,5.21,
NOV-2017,A) General Index,Final,137.6,4.88,
OCT-2017,A) General Index,Final,136.1,3.58,
SEP-2017,A) General Index,Final,135.2,3.28,
AUG-2017,A) General Index,Final,135.4,3.28,
JUL-2017,A) General Index,Final,134.2,2.36,
JUN-2017,A) General Index,Final,132,1.46,
MAY-2017,A) General Index,Final,131.4,2.18,
APR-2017,A) General Index,Final,131.1,2.99,
MAR-2017,A) General Index,Final,130.9,3.89,
FEB-2017,A) General Index,Final,130.6,3.65,
JAN-2017,A) General Index,Final,130.3,3.17,
DEC-2016,A) General Index,Final,130.4,3.41,
NOV-2016,A) General Index,Final,131.2,3.63,
OCT-2016,A) General Index,Final,131.4,4.2,
SEP-2016,A) General Index,Final,130.9,4.39,
AUG-2016,A) General Index,Final,131.1,5.05,
JUL-2016,A) General Index,Final,131.1,6.07,
JUN-2016,A) General Index,Final,130.1,5.77,
MAY-2016,A) General Index,Final,128.6,5.76,
APR-2016,A) General Index,Final,127.3,5.47,
MAR-2016,A) General Index,Final,126,4.83,
FEB-2016,A) General Index,Final,126,5.26,
JAN-2016,A) General Index,Final,126.3,5.69,
DEC-2015,A) General Index,Final,126.1,5.61,
NOV-2015,A) General Index,Final,126.6,5.41,
OCT-2015,A) General Index,Final,126.1,5,
SEP-2015,A) General Index,Final,125.4,4.41,
AUG-2015,A) General Index,Final,124.8,3.74,
JUL-2015,A) General Index,Final,123.6,3.69,
JUN-2015,A) General Index,Final,123,5.4,
MAY-2015,A) General Index,Final,121.6,5.01,
APR-2015,A) General Index,Final,120.7,4.87,
MAR-2015,A) General Index,Final,120.2,5.25,
FEB-2015,A) General Index,Final,119.7,5.37,
JAN-2015,A) General Index,Final,119.5,5.19,
DEC-2014,A) General Index,Final,119.4,4.28,
NOV-2014,A) General Index,Final,120.1,3.27,
OCT-2014,A) General Index,Final,120.1,4.62,
SEP-2014,A) General Index,Final,120.1,5.63,
AUG-2014,A) General Index,Final,120.3,7.03,
JUL-2014,A) General Index,Final,119.2,7.39,
JUN-2014,A) General Index,Final,116.7,6.77,
MAY-2014,A) General Index,Final,115.8,8.33,
APR-2014,A) General Index,Final,115.1,8.48,
MAR-2014,A) General Index,Final,114.2,8.25,
FEB-2014,A) General Index,Final,113.6,7.88,
JAN-2014,A) General Index,Final,113.6,8.6,
DEC-2013,A) General Index,Final,114.5,,
NOV-2013,A) General Index,Final,116.3,,
OCT-2013,A) General Index,Final,114.8,,
SEP-2013,A) General Index,Final,113.7,,
AUG-2013,A) General Index,Final,112.4,,
JUL-2013,A) General Index,Final,111,,
JUN-2013,A) General Index,Final,109.3,,
MAY-2013,A) General Index,Final,106.9,,
APR-2013,A) General Index,Final,106.1,,
MAR-2013,A) General Index,Final,105.5,,
FEB-2013,A) General Index,Final,105.3,,
JAN-2013,A) General Index,Final,104.6,,
,,,,,
"Note:
          -  :CPI (Rural) for housing is not compiled.",,,,,
